name,page,category,tags,url,pageStatus
Primary Soup,8,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n33,verified
Chinese Sauce,10,Sauces & Condiments,,https://archive.org/details/chinesecookbook00chan/page/n35,verified
Chinese Gravy,11,Sauces & Condiments,,https://archive.org/details/chinesecookbook00chan/page/n36,verified
Chicken Starch,14,Mains,,https://archive.org/details/chinesecookbook00chan/page/n39,verified
Chinese White Cheese,15,Sides,,https://archive.org/details/chinesecookbook00chan/page/n40,verified
Chinese Red Cheese,16,Sides,,https://archive.org/details/chinesecookbook00chan/page/n41,verified
Preparation of Secondary Vegetables,18,Sides,,https://archive.org/details/chinesecookbook00chan/page/n43,verified
Bird-nest Soup,19,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n44,verified
Chicken Mushroom Soup,21,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n46,verified
Vegetable Soup,22,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n47,verified
Duck Soup,23,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n48,verified
Pork Soup,24,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n49,verified
Fish Soup,25,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n50,verified
Noodle Soup,26,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n51,verified
Noodle Soup with Chicken and Mushrooms,28,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n53,verified
Noodle Soup in Yung Chow Style,30,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n55,verified
Noodles,31,Sides,,https://archive.org/details/chinesecookbook00chan/page/n56,verified
Fried Noodles,31,Sides,,https://archive.org/details/chinesecookbook00chan/page/n56,verified
Chicken Fried Noodles,33,Sides,,https://archive.org/details/chinesecookbook00chan/page/n58,verified
Chicken,35,Mains,,https://archive.org/details/chinesecookbook00chan/page/n60,verified
Almond Chicken,35,Mains,,https://archive.org/details/chinesecookbook00chan/page/n60,verified
Chicken Chop Suey,37,Mains,,https://archive.org/details/chinesecookbook00chan/page/n62,verified
Chestnut Chicken,38,Mains,,https://archive.org/details/chinesecookbook00chan/page/n63,verified
Chicken Hash,39,Mains,,https://archive.org/details/chinesecookbook00chan/page/n64,verified
Chicken Thread,40,Mains,,https://archive.org/details/chinesecookbook00chan/page/n65,verified
Fried Chicken,41,Mains,,https://archive.org/details/chinesecookbook00chan/page/n66,verified
Walnut Chicken,42,Mains,,https://archive.org/details/chinesecookbook00chan/page/n67,verified
Pineapple Chicken,43,Mains,,https://archive.org/details/chinesecookbook00chan/page/n68,verified
Salt Chicken,45,Mains,,https://archive.org/details/chinesecookbook00chan/page/n70,verified
Pan Chicken,46,Mains,,https://archive.org/details/chinesecookbook00chan/page/n71,verified
Bird-nest in Chicken,47,Mains,,https://archive.org/details/chinesecookbook00chan/page/n72,verified
Steamed Chicken,48,Mains,,https://archive.org/details/chinesecookbook00chan/page/n73,verified
Roast Chicken,49,Mains,,https://archive.org/details/chinesecookbook00chan/page/n74,verified
Duck,51,Mains,,https://archive.org/details/chinesecookbook00chan/page/n76,verified
Roast Duck,51,Mains,,https://archive.org/details/chinesecookbook00chan/page/n76,verified
Parsley Duck,52,Mains,,https://archive.org/details/chinesecookbook00chan/page/n77,verified
Duck Hash,54,Mains,,https://archive.org/details/chinesecookbook00chan/page/n79,verified
Duck Chop Suey,55,Mains,,https://archive.org/details/chinesecookbook00chan/page/n80,verified
Potato Duck,56,Mains,,https://archive.org/details/chinesecookbook00chan/page/n81,verified
Wine Vapor Duck,57,Mains,,https://archive.org/details/chinesecookbook00chan/page/n82,verified
Steamed Duck,59,Mains,,https://archive.org/details/chinesecookbook00chan/page/n84,verified
East Melon Duck,61,Mains,,https://archive.org/details/chinesecookbook00chan/page/n86,verified
Fried Duck Feet,63,Mains,,https://archive.org/details/chinesecookbook00chan/page/n88,verified
Pineapple Duck,65,Mains,,https://archive.org/details/chinesecookbook00chan/page/n90,verified
Duck Threads,66,Mains,,https://archive.org/details/chinesecookbook00chan/page/n91,verified
Roast Duck Biscuits,67,Breads,,https://archive.org/details/chinesecookbook00chan/page/n92,verified
Wild Duck,68,Mains,,https://archive.org/details/chinesecookbook00chan/page/n93,verified
Ham and Duck,70,Mains,,https://archive.org/details/chinesecookbook00chan/page/n95,verified
Lamb,71,Mains,,https://archive.org/details/chinesecookbook00chan/page/n96,verified
Fried Lamb,71,Mains,,https://archive.org/details/chinesecookbook00chan/page/n96,verified
Lamb Hash,72,Mains,,https://archive.org/details/chinesecookbook00chan/page/n97,verified
Steamed Lamb,73,Mains,,https://archive.org/details/chinesecookbook00chan/page/n98,verified
Lamb Chop Suey,74,Mains,,https://archive.org/details/chinesecookbook00chan/page/n99,verified
Chop Suey,75,Mains,,https://archive.org/details/chinesecookbook00chan/page/n100,verified
Plain Chop Suey,75,Mains,,https://archive.org/details/chinesecookbook00chan/page/n100,verified
Extra Chop Suey,76,Mains,,https://archive.org/details/chinesecookbook00chan/page/n101,verified
Pork,77,Mains,,https://archive.org/details/chinesecookbook00chan/page/n102,verified
Pork Hash,77,Mains,,https://archive.org/details/chinesecookbook00chan/page/n102,verified
Pork Threads,78,Mains,,https://archive.org/details/chinesecookbook00chan/page/n103,verified
Potato Pork,79,Mains,,https://archive.org/details/chinesecookbook00chan/page/n104,verified
Brittle Pork,80,Mains,,https://archive.org/details/chinesecookbook00chan/page/n105,verified
Steamed Chestnut Pork,81,Mains,,https://archive.org/details/chinesecookbook00chan/page/n106,verified
Pork Salad,82,Salads,,https://archive.org/details/chinesecookbook00chan/page/n107,verified
Fried Pigs' Ribs,83,Mains,,https://archive.org/details/chinesecookbook00chan/page/n108,verified
Beef,84,Mains,,https://archive.org/details/chinesecookbook00chan/page/n109,verified
Beef Chop Suey,84,Mains,,https://archive.org/details/chinesecookbook00chan/page/n109,verified
Green Pepper Beef,85,Mains,,https://archive.org/details/chinesecookbook00chan/page/n110,verified
Fish,86,Mains,,https://archive.org/details/chinesecookbook00chan/page/n111,verified
Fish Chop Suey,86,Mains,,https://archive.org/details/chinesecookbook00chan/page/n111,verified
Fish Balls,87,Mains,,https://archive.org/details/chinesecookbook00chan/page/n112,verified
Fried Fish Balls,89,Mains,,https://archive.org/details/chinesecookbook00chan/page/n114,verified
Raw Fish Party,91,Mains,,https://archive.org/details/chinesecookbook00chan/page/n116,verified
Fried Fish,93,Mains,,https://archive.org/details/chinesecookbook00chan/page/n118,verified
Hot Water Fish,94,Mains,,https://archive.org/details/chinesecookbook00chan/page/n119,verified
Steamed Pike,95,Mains,,https://archive.org/details/chinesecookbook00chan/page/n120,verified
Eel in Net,96,Mains,,https://archive.org/details/chinesecookbook00chan/page/n121,verified
Turtle Soup,99,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n124,verified
Shrimp,103,Mains,,https://archive.org/details/chinesecookbook00chan/page/n128,verified
Shrimp Chop Suey,103,Mains,,https://archive.org/details/chinesecookbook00chan/page/n128,verified
Steamed Shrimp,104,Mains,,https://archive.org/details/chinesecookbook00chan/page/n129,verified
Fried Shrimp,105,Mains,,https://archive.org/details/chinesecookbook00chan/page/n130,verified
Oysters,106,Mains,,https://archive.org/details/chinesecookbook00chan/page/n131,verified
Oyster Chop Suey,106,Mains,,https://archive.org/details/chinesecookbook00chan/page/n131,verified
Steamed Oysters,107,Mains,,https://archive.org/details/chinesecookbook00chan/page/n132,verified
Roasted Oysters,108,Mains,,https://archive.org/details/chinesecookbook00chan/page/n133,verified
Lobster,109,Mains,,https://archive.org/details/chinesecookbook00chan/page/n134,verified
Lobster Chop Suey,109,Mains,,https://archive.org/details/chinesecookbook00chan/page/n134,verified
Crab,110,Mains,,https://archive.org/details/chinesecookbook00chan/page/n135,verified
Fried Soft Shell Crab,112,Mains,,https://archive.org/details/chinesecookbook00chan/page/n137,verified
Chinese Tomato,113,Sides,,https://archive.org/details/chinesecookbook00chan/page/n138,verified
Fried Chinese Tomato with Crab,113,Sides,,https://archive.org/details/chinesecookbook00chan/page/n138,verified
Fried Chinese Tomato with Shrimp,114,Sides,,https://archive.org/details/chinesecookbook00chan/page/n139,verified
Pigeon,115,Mains,,https://archive.org/details/chinesecookbook00chan/page/n140,verified
Pigeon Chop Suey,116,Mains,,https://archive.org/details/chinesecookbook00chan/page/n141,verified
Bird-nest in Pigeon,117,Mains,,https://archive.org/details/chinesecookbook00chan/page/n142,verified
Fried Pigeon,118,Mains,,https://archive.org/details/chinesecookbook00chan/page/n143,verified
Pigeon Hash,119,Mains,,https://archive.org/details/chinesecookbook00chan/page/n144,verified
Quail,120,Mains,,https://archive.org/details/chinesecookbook00chan/page/n145,verified
Quail Hash,120,Mains,,https://archive.org/details/chinesecookbook00chan/page/n145,verified
Partridge,121,Mains,,https://archive.org/details/chinesecookbook00chan/page/n146,verified
Partridge Hash,121,Mains,,https://archive.org/details/chinesecookbook00chan/page/n146,verified
Partridge Chop Suey,122,Mains,,https://archive.org/details/chinesecookbook00chan/page/n147,verified
Goose o,125,Mains,,https://archive.org/details/chinesecookbook00chan/page/n150,verified
Roast Goose,125,Mains,,https://archive.org/details/chinesecookbook00chan/page/n150,verified
Winkle Chop Suey,126,Mains,,https://archive.org/details/chinesecookbook00chan/page/n151,verified
Eggs,128,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n153,verified
Plain Omelet,128,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n153,verified
Pork Omelet,129,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n154,verified
Chicken Omelet,130,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n155,verified
Shrimp Omelet,131,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n156,verified
Crab Omelet,132,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n157,verified
Lobster Omelet,133,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n158,verified
Bean Cake Omelet,134,Sides,,https://archive.org/details/chinesecookbook00chan/page/n159,verified
Fried Eggs,135,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n160,verified
Checker Board Eggs,137,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n162,verified
Fish Roll,138,Breads,,https://archive.org/details/chinesecookbook00chan/page/n163,verified
Gold and Silver Egg,140,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n165,verified
Stuffed Egg,141,Breakfast & Brunch,,https://archive.org/details/chinesecookbook00chan/page/n166,verified
Fish Swimming in a Golden Pond,142,Mains,,https://archive.org/details/chinesecookbook00chan/page/n167,verified
Shrimp in Golden Pond,143,Mains,,https://archive.org/details/chinesecookbook00chan/page/n168,verified
Crab in Golden Pond,144,Mains,,https://archive.org/details/chinesecookbook00chan/page/n169,verified
Lobster in Golden Pond,145,Mains,,https://archive.org/details/chinesecookbook00chan/page/n170,verified
Beans,146,Sides,,https://archive.org/details/chinesecookbook00chan/page/n171,verified
Bean Sprouts,146,Sides,,https://archive.org/details/chinesecookbook00chan/page/n171,verified
Bean Cake,147,Sides,,https://archive.org/details/chinesecookbook00chan/page/n172,verified
Bean Cake Chop Suey,148,Sides,,https://archive.org/details/chinesecookbook00chan/page/n173,verified
Chicken Starch Bean Cake,149,Sides,,https://archive.org/details/chinesecookbook00chan/page/n174,verified
Stuffed Triangle Bean Cake,150,Sides,,https://archive.org/details/chinesecookbook00chan/page/n175,verified
Bean Biscuit,153,Breads,,https://archive.org/details/chinesecookbook00chan/page/n178,verified
Squash,154,Sides,,https://archive.org/details/chinesecookbook00chan/page/n179,verified
Stuffed Squash,154,Sides,,https://archive.org/details/chinesecookbook00chan/page/n179,verified
Peppers,155,Sides,,https://archive.org/details/chinesecookbook00chan/page/n180,verified
Stuffed Green Peppers,155,Sides,,https://archive.org/details/chinesecookbook00chan/page/n180,verified
Chinese Frankfurters on Rice,163,Sides,,https://archive.org/details/chinesecookbook00chan/page/n188,verified
Chinese Frankfurters with Vegetables,164,Sides,,https://archive.org/details/chinesecookbook00chan/page/n189,verified
Lamb Frankfurters,165,Mains,,https://archive.org/details/chinesecookbook00chan/page/n190,verified
Spiced Pork,169,Mains,,https://archive.org/details/chinesecookbook00chan/page/n194,verified
Dry Pork,170,Mains,,https://archive.org/details/chinesecookbook00chan/page/n195,verified
Spiced Pork with Gray Potatoes,171,Mains,,https://archive.org/details/chinesecookbook00chan/page/n196,verified
Dry Pork on Rice,172,Mains,,https://archive.org/details/chinesecookbook00chan/page/n197,verified
Dry Pork with Gray Potatoes,173,Mains,,https://archive.org/details/chinesecookbook00chan/page/n198,verified
Dried Pork with Fried Bean Cake and Chinese Vegetable,174,Mains,,https://archive.org/details/chinesecookbook00chan/page/n199,verified
Dry Duck,175,Mains,,https://archive.org/details/chinesecookbook00chan/page/n200,verified
Dry Duck on Rice,176,Mains,,https://archive.org/details/chinesecookbook00chan/page/n201,verified
Dry Flat Fish Chop Suey,177,Mains,,https://archive.org/details/chinesecookbook00chan/page/n202,verified
Dry Flat Fish Soup,179,Soups & Stews,,https://archive.org/details/chinesecookbook00chan/page/n204,verified
Roast Dry Flat Fish,180,Mains,,https://archive.org/details/chinesecookbook00chan/page/n205,verified
Rice,182,Sides,,https://archive.org/details/chinesecookbook00chan/page/n207,verified
Rice Cooking,182,Sides,,https://archive.org/details/chinesecookbook00chan/page/n207,verified
Meat Biscuit,184,Breads,,https://archive.org/details/chinesecookbook00chan/page/n209,verified
Chinese Meat Biscuit,184,Breads,,https://archive.org/details/chinesecookbook00chan/page/n209,verified
Almond Cake,186,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n211,verified
Chinese Sponge Cake,187,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n212,verified
Water Chestnut Pudding,188,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n213,verified
Lily Root Pudding,189,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n214,verified
Gray Potato Pudding,190,Sides,,https://archive.org/details/chinesecookbook00chan/page/n215,verified
Candy,191,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n216,verified
Peanut Candy,191,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n216,verified
Sesamum-seed Candy,192,Desserts,,https://archive.org/details/chinesecookbook00chan/page/n217,verified
Chinese Grocery Stores and Noodle Shops,198,Sides,,https://archive.org/details/chinesecookbook00chan/page/n223,verified
